問題（もんだい）,選択肢（せんたくし）1,選択肢（せんたくし）2,選択肢（せんたくし）3,選択肢（せんたくし）4,正答（せいとう）
介護（かいご）の<u>記録（きろく）</u>を書（か）きます。,1.読（よ）むこと,2.聞（き）くこと,3.起（お）きたことを文字（もじ）にして残（のこ）すこと,4.捨（す）てること,3
リーダーに<u>報告（ほうこく）</u>します。,1.相談（そうだん）すること,2.業務（ぎょうむ）の結果（けっか）や状況（じょうきょう）を伝（つた）えること,3.謝（あやま）ること,4.質問（しつもん）すること,2
夜勤（やきん）の人（ひと）に<u>申（もう）し送（おく）り</u>をします。,1.荷物（にもつ）を送（おく）ること,2.挨拶（あいさつ）をすること,3.仕事（しごと）を引（ひ）き継（つ）ぐために情報（じょうほう）を伝（つた）えること,4.一緒（いっしょ）に帰（かえ）ること,3
<u>ヒヤリハット</u>の報告書（ほうこくしょ）を書（か）きます。,1.事故（じこ）になりそうだった危険（きけん）な出来事（できごと）,2.楽（たの）しかった出来事（できごと）,3.怒（おこ）られた出来事（できごと）,4.病気（びょうき）が治（なお）った出来事（できごと）,1
今日（きょう）の<u>日誌（にっし）</u>を読（よ）みます。,1.手紙（てがみ）,2.１日（いちにち）の出来事（できごと）や仕事（しごと）を書（か）いた記録（きろく）,3.料理（りょうり）の作（つく）り方（かた）,4.薬（くすり）の説明書（せつめいしょ）,2
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。<br>介護職（かいごしょく）A：「佐藤（さとう）さんの食事（しょくじ）の記録（きろく）は書（か）きましたか。」<br>介護職（かいごしょく）B：「はい、さっき書（か）きました。全部（ぜんぶ）食（た）べましたよ。」,1.Bはこれから記録（きろく）を書（か）きます。,2.佐藤（さとう）さんは食事（しょくじ）を残（のこ）しました。,3.Bはもう記録（きろく）を書（か）きました。,4.Aが記録（きろく）を書（か）きました。,3
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。<br>介護職（かいごしょく）：「鈴木（すずき）さんの熱（ねつ）が３７．５度（ど）あります。どうしますか。」<br>看護師（かんごし）：「わかりました。水分（すいぶん）をたくさん飲（の）んでもらって、様子（ようす）を見（み）ましょう。」,1.鈴木（すずき）さんは熱（ねつ）がありません。,2.看護師（かんごし）はすぐ病院（びょういん）に連（つ）れて行（い）きます。,3.鈴木（すずき）さんは水分（すいぶん）をたくさん飲（の）みます。,4.介護職（かいごしょく）は熱（ねつ）を測（はか）りませんでした。,3
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。<br>介護職（かいごしょく）A：「今日（きょう）の午後（ごご）の予定（よてい）は何（なに）ですか。」<br>介護職（かいごしょく）B：「午後（ごご）２時（じ）からレクリエーションがあります。」,1.午前（ごぜん）２時（じ）にレクリエーションがあります。,2.午後（ごご）２時（じ）にレクリエーションがあります。,3.レクリエーションはありません。,4.介護職（かいごしょく）Aが予定（よてい）を決（き）めます。,2
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。<br>介護職（かいごしょく）A：「高橋（たかはし）さんの申（もう）し送（おく）り事項（じこう）はありますか。」<br>介護職（かいごしょく）B：「はい、午前中（ごぜんちゅう）に娘（むすめ）さんが面会（めんかい）に来（き）ました。とても喜（よろこ）んでいましたよ。」,1.高橋（たかはし）さんの娘（むすめ）さんが面会（めんかい）に来（き）ました。,2.高橋（たかはし）さんは怒（おこ）っていました。,3.申（もう）し送（おく）り事項（じこう）はありません。,4.午後（ごご）に面会（めんかい）に来（き）ました。,1
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。<br>介護職（かいごしょく）A：「田中（たなか）さんがベッドから落（お）ちそうになりました。」<br>介護職（かいごしょく）B：「怪我（けが）はありませんか。」<br>介護職（かいごしょく）A：「はい、大丈夫（だいじょうぶ）です。」<br>介護職（かいごしょく）B：「よかったです。ヒヤリハット報告書（ほうこくしょ）を書（か）いておいてください。」,1.田中（たなか）さんは大（おお）きな怪我（けが）をしました。,2.Aはヒヤリハット報告書（ほうこくしょ）を書（か）きます。,3.田中（たなか）さんはベッドから落（お）ちました。,4.Bがヒヤリハット報告書（ほうこくしょ）を書（か）きます。,2
次（つぎ）の記録（きろく）を読（よ）んで、内容（ないよう）として正（ただ）しいものを選（えら）んでください。<br>【排泄（はいせつ）記録（きろく）】<br>山田（やまだ）さん：午前（ごぜん）６時（じ）にトイレで排尿（はいにょう）あり。量（りょう）は普通（ふつう）。午前（ごぜん）１０時（じ）におむつ交換（こうかん）。排便（はいべん）あり。やや軟便（なんべん）。,1.山田（やまだ）さんは午前（ごぜん）６時（じ）におむつを交換（こうかん）しました。,2.山田（やまだ）さんは午前（ごぜん）１０時（じ）にトイレに行（い）きました。,3.山田（やまだ）さんは午前（ごぜん）１０時（じ）に軟（やわ）らかい便（べん）が出（で）ました。,4.山田（やまだ）さんは排尿（はいにょう）がありませんでした。,3
次（つぎ）の掲示（けいじ）を読（よ）んで、内容（ないよう）として正（ただ）しいものを選（えら）んでください。<br>【お知（し）らせ】<br>明日（あした）は防災（ぼうさい）訓練（くんれん）があります。午後（ごご）２時（じ）にサイレンが鳴（な）りますので、職員（しょくいん）の指示（しじ）に従（したが）って広場（ひろば）に集（あつ）まってください。,1.明日（あした）の午前（ごぜん）２時（じ）にサイレンが鳴（な）ります。,2.サイレンが鳴（な）ったら、部屋（へや）の中（なか）にいてください。,3.明日（あした）は防災（ぼうさい）訓練（くんれん）があります。,4.職員（しょくいん）は広場（ひろば）に集（あつ）まりません。,3
次（つぎ）の予定表（よていひょう）を読（よ）んで、内容（ないよう）として正（ただ）しいものを選（えら）んでください。<br>【レクリエーション予定（よてい）】<br>月曜日（げつようび）：歌（うた）、火曜日（かようび）：体操（たいそう）、水曜日（すいようび）：折（お）り紙（がみ）、木曜日（もくようび）：お休（やす）み,1.月曜日（げつようび）は体操（たいそう）をします。,2.木曜日（もくようび）は折（お）り紙（がみ）をします。,3.水曜日（すいようび）は歌（うた）を歌（うた）います。,4.火曜日（かようび）は体操（たいそう）をします。,4
次（つぎ）の報告書（ほうこくしょ）を読（よ）んで、内容（ないよう）として正（ただ）しいものを選（えら）んでください。<br>【ヒヤリハット報告（ほうこく）】<br>場所（ばしょ）：廊下（ろうか）。<br>内容（ないよう）：車（くるま）いすのタイヤの空気（くうき）が減（へ）っていて、ブレーキがしっかりかからなかった。<br>対策（たいさく）：毎日（まいにち）、車（くるま）いすの点検（てんけん）を行（おこな）う。,1.食堂（しょくどう）でヒヤリハットがありました。,2.ブレーキがしっかりかかりませんでした。,3.タイヤの空気（くうき）が多（おお）すぎました。,4.車（くるま）いすの点検（てんけん）は１週間（いっしゅうかん）に１回（いっかい）行（おこな）います。,2
次（つぎ）のノートを読（よ）んで、内容（ないよう）として正（ただ）しいものを選（えら）んでください。<br>【申（もう）し送（おく）りノート】<br>加藤（かとう）さんは、夜（よる）あまり眠（ねむ）れなかったようです。日中（にっちゅう）は眠（ねむ）くなるかもしれないので、転倒（てんとう）に気（き）をつけて見守（みまも）りをお願（ねが）いします。,1.加藤（かとう）さんは夜（よる）よく眠（ねむ）れました。,2.加藤（かとう）さんは日中（にっちゅう）ずっと起（お）きています。,3.転（ころ）ばないように気（き）をつけて見守（みまも）ります。,4.加藤（かとう）さんは一人（ひとり）で散歩（さんぽ）に行（い）きます。,3
