問題（もんだい）,選択肢（せんたくし）1,選択肢（せんたくし）2,選択肢（せんたくし）3,選択肢（せんたくし）4,正答（せいとう）
トイレに行（い）きたいという<u>尿意（にょうい）</u>があります。,1.ご飯（はん）を食（た）べたいという気持（きも）ち,2.おしっこをしたいという気持（きも）ち,3.眠（ねむ）りたいという気持（きも）ち,4.水（みず）を飲（の）みたいという気持（きも）ち,2
ベッドの横（よこ）に<u>ポータブルトイレ</u>を置（お）きます。,1.部屋（へや）で使（つか）う持（も）ち運（はこ）びができるトイレ,2.手（て）を洗（あら）うための道具（どうぐ）,3.お風呂（ふろ）に入（はい）るための椅子（いす）,4.ご飯（はん）を食（た）べるための机（つくえ）,1
<u>失禁（しっきん）</u>があったので、着替（きが）えをします。,1.自分（じぶん）でトイレに行（い）くこと,2.ご飯（はん）をこぼすこと,3.自分（じぶん）の意志（いし）に関係（かんけい）なく尿（にょう）や便（べん）が出（で）てしまうこと,4.転（ころ）んで怪我（けが）をすること,3
トイレの<u>便座（べんざ）</u>を拭（ふ）いてきれいにします。,1.手（て）を洗（あら）うところ,2.足（あし）を置（お）くところ,3.水（みず）を流（なが）すボタン,4.トイレで座（すわ）るところ,4
排泄（はいせつ）の介護（かいご）では、<u>羞恥心（しゅうちしん）</u>に配慮（はいりょ）します。,1.恥（は）ずかしいと思（おも）う気持（きも）ち,2.嬉（うれ）しいと思（おも）う気持（きも）ち,3.悲（かな）しいと思（おも）う気持（きも）ち,4.痛（いた）いと思（おも）う気持（きも）ち,1
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。介護職（かいごしょく）：「佐藤（さとう）さん、寝（ね）る前（まえ）にトイレに行（い）きませんか。」佐藤（さとう）さん：「さっき行（い）ったから、出（で）ないと思（おも）うよ。」介護職（かいごしょく）：「そうですか。夜中（よなか）に行（い）きたくなったら、呼（よ）び出（だ）しボタンを押（お）してくださいね。」佐藤（さとう）さん：「わかったよ。」,1.佐藤（さとう）さんは、今（いま）からトイレに行（い）きます。,2.佐藤（さとう）さんは、もう寝（ね）ています。,3.佐藤（さとう）さんは、夜中（よなか）にトイレに行（い）きたくなったらボタンを押（お）します。,4.介護職（かいごしょく）は、今（いま）すぐボタンを押（お）すように言（い）いました。,3
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。鈴木（すずき）さん：「あ、ズボンが濡（ぬ）れてしまった。」介護職（かいごしょく）：「尿（にょう）が漏（も）れましたか。大丈夫（だいじょうぶ）ですよ。風邪（かぜ）をひくといけないので、新（あたら）しいズボンに着替（きが）えましょう。」鈴木（すずき）さん：「ごめんね。お願（ねが）いするよ。」介護職（かいごしょく）：「気（き）にしないでくださいね。今（いま）持（も）って来（き）ます。」,1.鈴木（すずき）さんは、水（みず）をこぼしました。,2.介護職（かいごしょく）は、鈴木（すずき）さんを怒（おこ）りました。,3.鈴木（すずき）さんは、新（あたら）しいズボンに着替（きが）えます。,4.鈴木（すずき）さんは、服（ふく）を着替（きが）えません。,3
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。介護職（かいごしょく）：「田中（たなか）さん、お腹（なか）の調子（ちょうし）はどうですか。」田中（たなか）さん：「今日（きょう）はまだ便（べん）が出（で）ていないんだ。」介護職（かいごしょく）：「そうですか。お腹（なか）が痛（いた）いですか。」田中（たなか）さん：「痛（いた）くはないよ。少（すこ）し散歩（さんぽ）をしてからトイレに行（い）ってみるよ。」,1.田中（たなか）さんは、今日（きょう）便（べん）が出（で）ました。,2.田中（たなか）さんは、お腹（なか）が痛（いた）いです。,3.田中（たなか）さんは、散歩（さんぽ）のあとでトイレに行（い）きます。,4.介護職（かいごしょく）は、すぐにトイレに行（い）くように言（い）いました。,3
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。介護職（かいごしょく）：「高橋（たかはし）さん、トイレは終（お）わりましたか。」高橋（たかはし）さん：「はい、終（お）わりました。」介護職（かいごしょく）：「では、手（て）を洗（あら）いましょう。石（せっ）けんをつけてくださいね。」高橋（たかはし）さん：「はい、タオルを取（と）ってくれますか。」介護職（かいごしょく）：「はい、どうぞ。」,1.高橋（たかはし）さんは、まだトイレに入（はい）っています。,2.介護職（かいごしょく）は、石（せっ）けんを使（つか）わずに手（て）を洗（あら）うように言（い）いました。,3.高橋（たかはし）さんは、手（て）を洗（あら）った後（あと）にタオルを使（つか）います。,4.介護職（かいごしょく）は、タオルを取（と）りませんでした。,3
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。山田（やまだ）さん：「夜（よる）はトイレまで歩（ある）くのが大変（たいへん）なんだ。」介護職（かいごしょく）：「そうですか。それでは、ベッドの横（よこ）にポータブルトイレを置（お）きましょうか。」山田（やまだ）さん：「そうしてもらえると、夜中（よなか）も安心（あんしん）だよ。」介護職（かいごしょく）：「今日（きょう）の夜（よる）から準備（じゅんび）しますね。」,1.山田（やまだ）さんは、夜（よる）トイレまで歩（ある）くのが好（す）きです。,2.介護職（かいごしょく）は、ベッドの横（よこ）にポータブルトイレを置（お）きます。,3.山田（やまだ）さんは、ポータブルトイレを使（つか）いたくないです。,4.介護職（かいごしょく）は、明日（あした）からポータブルトイレを準備（じゅんび）します。,2
