問題（もんだい）,選択肢（せんたくし）1,選択肢（せんたくし）2,選択肢（せんたくし）3,選択肢（せんたくし）4,正答（せいとう）
部屋（へや）の<u>換気（かんき）</u>をします。,1.窓（まど）を開（あ）けて新（あたら）しい空気（くうき）を入（い）れること,2.部屋（へや）を暖（あたた）かくすること,3.ゴミを集（あつ）めること,4.床（ゆか）を水（みず）で拭（ふ）くこと,1
<u>調理（ちょうり）</u>を手伝（てつだ）います。,1.買（か）い物（もの）に行（い）くこと,2.料理（りょうり）を作（つく）ること,3.お皿（さら）を洗（あら）うこと,4.ゴミを捨（す）てること,2
洗濯物（せんたくもの）を<u>干（ほ）します</u>。,1.洗濯機（せんたくき）を回（まわ）すこと,2.服（ふく）をきれいにたたむこと,3.服（ふく）にアイロンをかけること,4.濡（ぬ）れた服（ふく）を乾（かわ）かすこと,4
ゴミの<u>分別（ぶんべつ）</u>を行（おこな）います。,1.ゴミを種類（しゅるい）ごとに分（わ）けること,2.ゴミを小（ちい）さく切（き）ること,3.ゴミを燃（も）やすこと,4.ゴミ袋（ぶくろ）を買（か）うこと,1
<u>整理整頓（せいりせいとん）</u>を心（こころ）がけます。,1.物（もの）をきれいにお風呂（ふろ）に入（い）れること,2.物（もの）をきれいに片付（かたづ）けること,3.物（もの）を新（あたら）しく買（か）うこと,4.物（もの）を全部（ぜんぶ）捨（す）てること,2
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。介護職（かいごしょく）：「山田（やまだ）さん、掃除機（そうじき）をかけますね。」山田（やまだ）さん：「ありがとう。私（わたし）は机（つくえ）の上（うえ）を拭（ふ）くよ。」介護職（かいごしょく）：「助（たす）かります。お願（ねが）いします。」,1.山田（やまだ）さんは掃除機（そうじき）をかけます。,2.介護職（かいごしょく）は机（つくえ）の上（うえ）を拭（ふ）きます。,3.山田（やまだ）さんは机（つくえ）の上（うえ）を拭（ふ）きます。,4.山田（やまだ）さんは何（なに）もしません。,3
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。介護職（かいごしょく）：「佐藤（さとう）さん、買（か）い物（もの）に行（い）ってきます。何（なに）か足（た）りないものはありますか。」佐藤（さとう）さん：「牛乳（ぎゅうにゅう）と卵（たまご）をお願（ねが）いするわ。」介護職（かいごしょく）：「わかりました。パンは買（か）いますか。」佐藤（さとう）さん：「パンはまだあるから、いらないわ。」,1.介護職（かいごしょく）はパンを買（か）います。,2.佐藤（さとう）さんは牛乳（ぎゅうにゅう）と卵（たまご）を買（か）ってきてほしいです。,3.佐藤（さとう）さんは自分（じぶん）で買（か）い物（もの）に行（い）きます。,4.パンはもう家（いえ）にありません。,2
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。鈴木（すずき）さん：「今日（きょう）のお昼（ひる）ごはんは、うどんが食（た）べたいな。」介護職（かいごしょく）：「いいですね。冷蔵庫（れいぞうこ）にネギがあるので、入（い）れましょうか。」鈴木（すずき）さん：「うん、ネギは多（おお）めに入（い）れてね。」,1.鈴木（すずき）さんはお昼（ひる）ごはんにカレーを食（た）べます。,2.冷蔵庫（れいぞうこ）にはネギがありません。,3.鈴木（すずき）さんはネギを少（すこ）しだけ入（い）れてほしいです。,4.鈴木（すずき）さんはネギを多（おお）めに入（い）れたうどんを食（た）べます。,4
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。介護職（かいごしょく）：「田中（たなか）さん、洗濯物（せんたくもの）が乾（かわ）きましたよ。一緒（いっしょ）にたたみましょうか。」田中（たなか）さん：「ありがとう。タオルなら私（わたし）もたためるわ。」介護職（かいごしょく）：「では、タオルをお願（ねが）いします。私（わたし）はシャツをたたみますね。」,1.田中（たなか）さんはタオルをたたみます。,2.田中（たなか）さんはシャツをたたみます。,3.介護職（かいごしょく）はタオルをたたみます。,4.介護職（かいごしょく）は洗濯（せんたく）をしません。,1
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。介護職（かいごしょく）：「高橋（たかはし）さん、明日（あした）は燃（も）えないゴミの日（ひ）ですね。」高橋（たかはし）さん：「割（わ）れたコップがあるから、捨（す）ててくれる？」介護職（かいごしょく）：「わかりました。怪我（けが）をしないように紙（かみ）に包（つつ）んで捨（す）てますね。」,1.明日（あした）は燃（も）えるゴミの日（ひ）です。,2.高橋（たかはし）さんは割（わ）れたコップを持（も）っています。,3.介護職（かいごしょく）はコップをそのまま捨（す）てます。,4.高橋（たかはし）さんは自分（じぶん）でゴミを捨（す）てます。,2
