問題（もんだい）,選択肢（せんたくし）1,選択肢（せんたくし）2,選択肢（せんたくし）3,選択肢（せんたくし）4,正答（せいとう）
佐藤（さとう）さんは、ベッドから車（くるま）いすに<u>移乗（いじょう）</u>します。,1.乗（の）り換（か）えること,2.着替（きが）えること,3.食事（しょくじ）をすること,4.散歩（さんぽ）すること,1
お茶（ちゃ）を飲（の）むとき、<u>誤嚥（ごえん）</u>に気（き）をつけてください。,1.むせて、食（た）べ物（もの）が気管（きかん）に入（はい）ること,2.食（た）べ物（もの）をよく噛（か）んで食（た）べること,3.お茶（ちゃ）をこぼすこと,4.お茶（ちゃ）が熱（あつ）すぎること,1
おむつを交換（こうかん）するときは、<u>羞恥心（しゅうちしん）</u>に配慮（はいりょ）します。,1.恥（は）ずかしいと思（おも）う気持（きも）ち,2.嬉（うれ）しいと思（おも）う気持（きも）ち,3.悲（かな）しいと思（おも）う気持（きも）ち,4.痛（いた）いと思（おも）う気持（きも）ち,1
鈴木（すずき）さんは、体調（たいちょう）が良（よ）いので<u>離床（りしょう）</u>します。,1.ベッドから離（はな）れて起（お）きること,2.ご飯（はん）を食（た）べること,3.お風呂（ふろ）に入（はい）ること,4.ベッドに寝（ね）ること,1
食事（しょくじ）の前（まえ）に<u>口腔（こうくう）ケア</u>を行（おこな）います。,1.口（くち）の中（なか）をきれいにする手入（てい）れ,2.髪（かみ）の毛（け）をとかす手入（てい）れ,3.爪（つめ）を切（き）る手入（てい）れ,4.顔（かお）を洗（あら）う手入（てい）れ,1
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。<br>介護職（かいごしょく）：「佐藤（さとう）さん、今日（きょう）はお天気（てんき）がいいから、散歩（さんぽ）に行（い）きませんか。」<br>佐藤（さとう）さん：「そうですね。でも、少（すこ）し足（あし）が痛（いた）いから、車（くるま）いすで行（い）きたいわ。」<br>介護職（かいごしょく）：「わかりました。では、車（くるま）いすを準備（じゅんび）しますね。」,1.佐藤（さとう）さんは、歩（ある）いて散歩（さんぽ）に行（い）きます。,2.佐藤（さとう）さんは、車（くるま）いすで散歩（さんぽ）に行（い）きます。,3.佐藤（さとう）さんは、散歩（さんぽ）に行（い）きません。,4.佐藤（さとう）さんは、手（て）が痛（いた）いです。,2
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。<br>鈴木（すずき）さん：「あ、お茶（ちゃ）をこぼしてしまった。」<br>介護職（かいごしょく）：「大丈夫（だいじょうぶ）ですか。服（ふく）が濡（ぬ）れましたね。着替（きが）えましょう。」<br>鈴木（すずき）さん：「お願（ねが）いします。」<br>介護職（かいごしょく）：「青（あお）いシャツと、白（しろ）いシャツ、どちらがいいですか。」<br>鈴木（すずき）さん：「白（しろ）いシャツをお願（ねが）いします。」,1.鈴木（すずき）さんは、青（あお）いシャツに着替（きが）えます。,2.鈴木（すずき）さんは、白（しろ）いシャツに着替（きが）えます。,3.鈴木（すずき）さんは、服（ふく）が濡（ぬ）れていません。,4.鈴木（すずき）さんは、着替（きが）えたくないです。,2
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。<br>介護職（かいごしょく）：「佐藤（さとう）さん、お風呂（ふろ）の準備（じゅんび）ができましたよ。」<br>佐藤（さとう）さん：「ありがとう。でも、今日（きょう）は頭（あたま）が痛（いた）いから、お風呂（ふろ）はやめておくよ。」<br>介護職（かいごしょく）：「そうですか。では、からだを拭（ふ）きましょうか。」<br>佐藤（さとう）さん：「そうだね。お願（ねが）いするよ。」,1.佐藤（さとう）さんは、お風呂（ふろ）に入（はい）ります。,2.佐藤（さとう）さんは、からだを拭（ふ）いてもらいます。,3.佐藤（さとう）さんは、お腹（なか）が痛（いた）いです。,4.佐藤（さとう）さんは、何（なに）もしてもらいません。,2
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。<br>介護職（かいごしょく）：「鈴木（すずき）さん、昼（ひる）ごはんですよ。今日（きょう）はカレーライスです。」<br>鈴木（すずき）さん：「私（わたし）はカレーはあまり好（す）きじゃないんだ。」<br>介護職（かいごしょく）：「そうでしたか。うどんもありますが、どうですか。」<br>鈴木（すずき）さん：「うどんは好（す）きだよ。うどんにして。」,1.鈴木（すずき）さんは、カレーライスを食（た）べます。,2.鈴木（すずき）さんは、うどんを食（た）べます。,3.鈴木（すずき）さんは、何（なに）も食（た）べません。,4.鈴木（すずき）さんは、カレーライスが好（す）きです。,2
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。<br>介護職（かいごしょく）：「佐藤（さとう）さん、少（すこ）しお部屋（へや）が寒（さむ）いですね。窓（まど）を閉（し）めましょうか。」<br>佐藤（さとう）さん：「そうですね。風（かぜ）が入（はい）ってきて寒（さむ）いです。」<br>介護職（かいごしょく）：「毛布（もうふ）も掛（か）けましょうか。」<br>佐藤（さとう）さん：「ありがとう。暖（あたた）かくなりました。」,1.介護職（かいごしょく）は、窓（まど）を開（あ）けます。,2.介護職（かいごしょく）は、エアコンをつけます。,3.介護職（かいごしょく）は、窓（まど）を閉（し）めて毛布（もうふ）を掛（か）けます。,4.佐藤（さとう）さんは、暑（あつ）いです。,3
