問題（もんだい）,選択肢（せんたくし）1,選択肢（せんたくし）2,選択肢（せんたくし）3,選択肢（せんたくし）4,正答（せいとう）
朝（あさ）の<u>整容（せいよう）</u>を行（おこな）います。,1.みじたくを整（ととの）えること,2.食事（しょくじ）を作（つく）ること,3.お風呂（ふろ）に入（はい）ること,4.部屋（へや）を掃除（そうじ）すること,1
服（ふく）の<u>着脱（ちゃくだつ）</u>を手伝（てつだ）います。,1.洗濯（せんたく）をすること,2.買（か）い物（もの）をすること,3.服（ふく）を着（き）たり脱（ぬ）いだりすること,4.アイロンをかけること,3
<u>健側（けんそく）</u>から服（ふく）を脱（ぬ）ぎます。,1.麻痺（まひ）がある方（ほう）のからだ,2.麻痺（まひ）がない方（ほう）のからだ,3.頭（あたま）のてっぺん,4.足（あし）の裏（うら）,2
<u>患側（かんそく）</u>から服（ふく）を着（き）ます。,1.麻痺（まひ）がある方（ほう）のからだ,2.麻痺（まひ）がない方（ほう）のからだ,3.背中（せなか）の方（ほう）,4.お腹（なか）の方（ほう）,1
<u>寝巻（ねま）き</u>に着替（きが）えましょう。,1.散歩（さんぽ）に行（い）く服（ふく）,2.寝（ね）るときに着（き）る服（ふく）,3.お風呂（ふろ）で着（き）る服（ふく）,4.運動（うんどう）する服（ふく）,2
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。介護職（かいごしょく）：「山田（やまだ）さん、顔（かお）を洗（あら）いましょうか。」山田（やまだ）さん：「自分（じぶん）で洗（あら）えるから、タオルだけ貸（か）して。」介護職（かいごしょく）：「はい、どうぞ。お湯（ゆ）も用意（ようい）しますね。」,1.介護職（かいごしょく）が山田（やまだ）さんの顔（かお）を洗（あら）います。,2.山田（やまだ）さんは顔（かお）を洗（あら）いません。,3.山田（やまだ）さんは自分（じぶん）で顔（かお）を洗（あら）います。,4.介護職（かいごしょく）はタオルを貸（か）しません。,3
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。介護職（かいごしょく）：「佐藤（さとう）さん、ひげをそりましょう。」佐藤（さとう）さん：「今日（きょう）は電気（でんき）シェーバーでお願（ねが）いできるかな。」介護職（かいごしょく）：「わかりました。準備（じゅんび）しますね。」,1.佐藤（さとう）さんは自分（じぶん）でひげをそります。,2.佐藤（さとう）さんは電気（でんき）シェーバーでひげをそってもらいます。,3.佐藤（さとう）さんはひげをそりません。,4.介護職（かいごしょく）はひげをそるのを断（ことわ）りました。,2
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。介護職（かいごしょく）：「鈴木（すずき）さん、髪（かみ）をとかしましょう。」鈴木（すずき）さん：「ありがとう。後（うし）ろのほうはおねがいね。」介護職（かいごしょく）：「はい、きれいにしますね。」,1.鈴木（すずき）さんは髪（かみ）をとかしたくないです。,2.介護職（かいごしょく）は鈴木（すずき）さんの後（うし）ろの髪（かみ）をとかします。,3.鈴木（すずき）さんは自分（じぶん）で全部（ぜんぶ）の髪（かみ）をとかします。,4.介護職（かいごしょく）は髪（かみ）を洗（あら）います。,2
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。介護職（かいごしょく）：「高橋（たかはし）さん、爪（つめ）が伸（の）びていますね。切（き）りましょうか。」高橋（たかはし）さん：「そうだね。足（あし）の爪（つめ）が切（き）りにくいんだ。」介護職（かいごしょく）：「では、足（あし）の爪（つめ）を切（き）りますね。」,1.高橋（たかはし）さんは手（て）の爪（つめ）を切（き）ってほしいです。,2.高橋（たかはし）さんは爪（つめ）を切（き）りたくないです。,3.介護職（かいごしょく）は高橋（たかはし）さんの足（あし）の爪（つめ）を切（き）ります。,4.介護職（かいごしょく）は高橋（たかはし）さんの手（て）の爪（つめ）だけを切（き）ります。,3
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。介護職（かいごしょく）：「田中（たなか）さん、お出（で）かけですね。どの服（ふく）を着（き）ますか。」田中（たなか）さん：「この青（あお）いシャツと、茶色（ちゃいろ）のズボンにするよ。」介護職（かいごしょく）：「よく似合（にあ）いますね。着替（きが）えを手伝（てつだ）いますよ。」,1.田中（たなか）さんは赤（あか）いシャツを着（き）ます。,2.田中（たなか）さんは青（あお）いシャツと茶色（ちゃいろ）のズボンを着（き）ます。,3.田中（たなか）さんは出（で）かけません。,4.介護職（かいごしょく）は服（ふく）を選（えら）びました。,2
次（つぎ）の文章（ぶんしょう）を読（よ）んで、内容（ないよう）として正（ただ）しいものを選（えら）んでください。【衣服（いふく）の着脱（ちゃくだつ）】右半身（みぎはんしん）に麻痺（まひ）がある利用者（りようしゃ）が服（ふく）を着替（きが）えるときは、「脱健着患（だっけんちゃっかん）」が基本（きほん）です。脱（ぬ）ぐときは麻痺（まひ）のない左手（ひだりて）から脱（ぬ）ぎ、着（き）るときは麻痺（まひ）のある右手（みぎて）から着（き）ます。,1.服（ふく）を着（き）るときは、麻痺（まひ）のない方（ほう）から着（き）ます。,2.服（ふく）を脱（ぬ）ぐときは、麻痺（まひ）のある方（ほう）から脱（ぬ）ぎます。,3.服（ふく）を着（き）るときは、麻痺（まひ）のある方（ほう）から着（き）ます。,4.どちらから着（き）てもいいです。,3
次（つぎ）の文章（ぶんしょう）を読（よ）んで、内容（ないよう）として正（ただ）しいものを選（えら）んでください。【整容（せいよう）の介助（かいじょ）】利用者（りようしゃ）が自分（じぶん）でできることは、自分（じぶん）で行（おこな）ってもらいます。介護職（かいごしょく）は、利用者（りようしゃ）ができない部分（ぶぶん）だけを手伝（てつだ）います。これにより、利用者（りようしゃ）の持（も）っている力（ちから）を生（い）かすことができます。,1.介護職（かいごしょく）が全（すべ）て手伝（てつだ）います。,2.利用者（りようしゃ）ができないところだけ手伝（てつだ）います。,3.利用者（りようしゃ）は自分（じぶん）で何（なに）もしてはいけません。,4.介護職（かいごしょく）は何（なに）も手伝（てつだ）いません。,2
次（つぎ）の文章（ぶんしょう）を読（よ）んで、内容（ないよう）として正（ただ）しいものを選（えら）んでください。【爪切（つめき）りの注意（ちゅうい）】高齢者（こうれいしゃ）の爪（つめ）は硬（かた）くなっていることが多（おお）いです。お風呂（ふろ）の後（あと）は爪（つめ）が柔（やわ）らかくなるので、切（き）るのに適（てき）しています。深爪（ふかつめ）にならないように気（き）をつけましょう。,1.高齢者（こうれいしゃ）の爪（つめ）は柔（やわ）らかいことが多（おお）いです。,2.お風呂（ふろ）の前（まえ）に爪（つめ）を切（き）るのが適（てき）しています。,3.お風呂（ふろ）の後（あと）に爪（つめ）を切（き）るのが適（てき）しています。,4.深爪（ふかつめ）になるように切（き）ります。,3
次（つぎ）の文章（ぶんしょう）を読（よ）んで、内容（ないよう）として正（ただ）しいものを選（えら）んでください。【ひげそりの記録（きろく）】佐藤（さとう）さんは、毎朝（まいあさ）自分（じぶん）でひげをそります。しかし、今日（きょう）は手（て）が震（ふる）えてうまくできないと言（い）いました。そのため、介護職（かいごしょく）が電気（でんき）カミソリでひげをそりました。肌（はだ）の赤（あか）みはありません。,1.佐藤（さとう）さんは今日（きょう）も自分（じぶん）でひげをそりました。,2.今日（きょう）は介護職（かいごしょく）がひげをそりました。,3.佐藤（さとう）さんの肌（はだ）は赤（あか）くなっています。,4.佐藤（さとう）さんはいつも介護職（かいごしょく）にひげをそってもらいます。,2
次（つぎ）の文章（ぶんしょう）を読（よ）んで、内容（ないよう）として正（ただ）しいものを選（えら）んでください。【洗面（せんめん）の介助（かいじょ）】ベッドで顔（かお）を拭（ふ）くときは、温（あたた）かいお湯（ゆ）で絞（しぼ）ったタオルを使（つか）います。目（め）の周（まわ）りを拭（ふ）くときは、目（め）の外側（そとがわ）から内側（うちがわ）ではなく、内側（うちがわ）から外側（そとがわ）に向（む）かって優（やさ）しく拭（ふ）きます。,1.冷（つめ）たい水（みず）で絞（しぼ）ったタオルを使（つか）います。,2.目（め）の外側（そとがわ）から内側（うちがわ）に向（む）かって拭（ふ）きます。,3.目（め）の内側（うちがわ）から外側（そとがわ）に向（む）かって優（やさ）しく拭（ふ）きます。,4.タオルは使（つか）いません。,3
