問題（もんだい）,選択肢（せんたくし）1,選択肢（せんたくし）2,選択肢（せんたくし）3,選択肢（せんたくし）4,正答（せいとう）
からだの<u>清拭（せいしき）</u>を行（おこな）います。,1.お湯（ゆ）につかること,2.からだを拭（ふ）いてきれいにすること,3.髪（かみ）を洗（あら）うこと,4.爪（つめ）を切（き）ること,2
<u>浴槽（よくそう）</u>を掃除（そうじ）します。,1.服（ふく）を着替（きが）える部屋（へや）,2.お湯（ゆ）をためて入（はい）るところ,3.トイレの便座（べんざ）,4.ご飯（はん）を食（た）べる机（つくえ）,2
お風呂（ふろ）に入（はい）る前（まえ）に<u>かけ湯（ゆ）</u>をします。,1.からだを拭（ふ）くこと,2.シャンプーをすること,3.お湯（ゆ）の温度（おんど）に慣（な）れるためにからだにお湯（ゆ）をかけること,4.冷（つめ）たい水（みず）を飲（の）むこと,3
ベッドの上（うえ）で<u>足浴（そくよく）</u>をします。,1.足（あし）だけをお湯（ゆ）に入（い）れて洗（あら）うこと,2.手（て）だけをお湯（ゆ）に入（い）れて洗（あら）うこと,3.顔（かお）を洗（あら）うこと,4.全身（ぜんしん）をお湯（ゆ）につけること,1
<u>脱衣室（だついしつ）</u>を暖（あたた）かくします。,1.ご飯（はん）を作（つく）る部屋（へや）,2.寝（ね）るための部屋（へや）,3.お風呂（ふろ）に入（はい）るために服（ふく）を脱（ぬ）ぐ部屋（へや）,4.テレビを見（み）る部屋（へや）,3
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。介護職（かいごしょく）：「佐藤（さとう）さん、お湯（ゆ）の温度（おんど）はどうですか。熱（あつ）くないですか。」佐藤（さとう）さん：「ちょうどいいよ。気持（きも）ちがいいね。」,1.お湯（ゆ）は熱（あつ）すぎます。,2.お湯（ゆ）は冷（つめ）たいです。,3.お湯（ゆ）の温度（おんど）はちょうどいいです。,4.佐藤（さとう）さんはお風呂（ふろ）が嫌（きら）いです。,3
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。介護職（かいごしょく）：「鈴木（すずき）さん、足（あし）の先（さき）から順番（じゅんばん）にお湯（ゆ）をかけますね。」鈴木（すずき）さん：「はい、お願（ねが）いします。」,1.介護職（かいごしょく）は頭（あたま）からお湯（ゆ）をかけます。,2.介護職（かいごしょく）は足（あし）の先（さき）からお湯（ゆ）をかけます。,3.鈴木（すずき）さんは自分（じぶん）でお湯（ゆ）をかけます。,4.介護職（かいごしょく）は冷（つめ）たい水（みず）をかけます。,2
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。田中（たなか）さん：「ふう、少（すこ）し頭（あたま）がくらくらしてきたよ。」介護職（かいごしょく）：「のぼせてしまったかもしれませんね。すぐにお風呂（ふろ）から出（で）ましょう。」,1.田中（たなか）さんは気分（きぶん）が悪（わる）くなりました。,2.田中（たなか）さんはもっとお風呂（ふろ）に入（はい）りたいです。,3.介護職（かいごしょく）はもっとお風呂（ふろ）に入（はい）るように言（い）いました。,4.田中（たなか）さんはお腹（なか）が痛（いた）いです。,1
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。介護職（かいごしょく）：「高橋（たかはし）さん、髪（かみ）を洗（あら）いますね。目（め）にシャンプーが入（はい）らないように、タオルを顔（かお）にのせますか。」高橋（たかはし）さん：「そうだね、お願（ねが）いするよ。」,1.高橋（たかはし）さんは自分（じぶん）で髪（かみ）を洗（あら）います。,2.介護職（かいごしょく）は目（め）にシャンプーを入（い）れます。,3.介護職（かいごしょく）は高橋（たかはし）さんの顔（かお）にタオルをのせます。,4.高橋（たかはし）さんはタオルを使（つか）いたくないです。,3
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。介護職（かいごしょく）：「山田（やまだ）さん、お風呂（ふろ）から出（で）ましたね。汗（あせ）をかいたので、お茶（ちゃ）を飲（の）みましょう。」山田（やまだ）さん：「ありがとう。のどが渇（かわ）いていたんだ。」,1.山田（やまだ）さんはお風呂（ふろ）に入（はい）る前（まえ）です。,2.山田（やまだ）さんはお茶（ちゃ）を飲（の）みたくないです。,3.介護職（かいごしょく）は山田（やまだ）さんにお茶（ちゃ）を渡（わた）します。,4.山田（やまだ）さんは汗（あせ）をかいていません。,3
次（つぎ）の文章（ぶんしょう）を読（よ）んで、内容（ないよう）として正（ただ）しいものを選（えら）んでください。【入浴（にゅうよく）前（まえ）の確認（かくにん）】お風呂（ふろ）に入（はい）る前（まえ）には、必（かなら）ず利用者（りようしゃ）の体温（たいおん）や血圧（けつあつ）を測（はか）ります。熱（ねつ）があったり、体調（たいちょう）が悪（わる）かったりするときは、お風呂（ふろ）に入（はい）るのをやめて、からだを拭（ふ）く（清拭（せいしき））だけにします。,1.体調（たいちょう）が悪（わる）くてもお風呂（ふろ）に入（はい）ります。,2.お風呂（ふろ）に入（はい）る前（まえ）に熱（ねつ）や血圧（けつあつ）を測（はか）ります。,3.熱（ねつ）があるときは、長（なが）くお湯（ゆ）につかります。,4.入浴（にゅうよく）前（まえ）の確認（かくにん）は必要（ひつよう）ありません。,2
次（つぎ）の文章（ぶんしょう）を読（よ）んで、内容（ないよう）として正（ただ）しいものを選（えら）んでください。【ヒートショックの予防（よぼう）】冬（ふゆ）は、暖（あたた）かい部屋（へや）から寒（さむ）い脱衣室（だついしつ）やお風呂（ふろ）に行（い）くと、血圧（けつあつ）が急（きゅう）に変（か）わって倒（たお）れることがあります。これを防（ふせ）ぐために、脱衣室（だついしつ）とお風呂（ふろ）を暖（あたた）かくしておくことが大切（たいせつ）です。,1.脱衣室（だついしつ）とお風呂（ふろ）を寒（さむ）くしておきます。,2.血圧（けつあつ）が急（きゅう）に変（か）わっても危険（きけん）ではありません。,3.冬（ふゆ）は脱衣室（だついしつ）とお風呂（ふろ）を暖（あたた）かくしておきます。,4.夏（なつ）にヒートショックがよく起（お）きます。,3
次（つぎ）の文章（ぶんしょう）を読（よ）んで、内容（ないよう）として正（ただ）しいものを選（えら）んでください。【からだを洗（あら）う順番（じゅんばん）】からだを洗（あら）うときは、心臓（しんぞう）から遠（とお）いところ（手（て）や足（あし）の先（さき））から洗（あら）い始（はじ）めます。また、汚（よご）れが少（すこ）ないところから洗（あら）い、お尻（しり）などの汚（よご）れが多（おお）いところは最後（さいご）に洗（あら）います。,1.心臓（しんぞう）に近（ちか）いところから洗（あら）い始（はじ）めます。,2.お尻（しり）を一番（いちばん）最初（さいしょ）に洗（あら）います。,3.汚（よご）れが多（おお）いところから洗（あら）い始（はじ）めます。,4.汚（よご）れが少（すこ）ないところから洗（あら）い始（はじ）めます。,4
次（つぎ）の文章（ぶんしょう）を読（よ）んで、内容（ないよう）として正（ただ）しいものを選（えら）んでください。【入浴（にゅうよく）中（ちゅう）の観察（かんさつ）】お風呂（ふろ）に入（はい）っているときは、利用者（りようしゃ）のからだ全体（ぜんたい）を見（み）るチャンスです。背中（せなか）やお尻（しり）に赤（あか）くなっているところ（褥瘡（じょくそう）のサイン）がないか、皮膚（ひふ）に傷（きず）がないかをよく確認（かくにん）します。,1.お風呂（ふろ）ではからだを洗（あら）うだけで、皮膚（ひふ）は見（み）ません。,2.皮膚（ひふ）が赤（あか）くなっていても気（き）にしません。,3.背中（せなか）やお尻（しり）などの皮膚（ひふ）に異常（いじょう）がないか確認（かくにん）します。,4.利用者（りようしゃ）のからだは見（み）ないようにします。,3
次（つぎ）の文章（ぶんしょう）を読（よ）んで、内容（ないよう）として正（ただ）しいものを選（えら）んでください。【申（もう）し送（おく）りの記録（きろく）】加藤（かとう）さんは、今日（きょう）の午前（ごぜん）１０時（じ）に入浴（にゅうよく）しました。背中（せなか）を洗（あら）っているとき、小（ちい）さなひっかき傷（きず）を見（み）つけました。痛（いた）みはないそうです。お風呂（ふろ）から出（で）た後（あと）、看護師（かんごし）に報告（ほうこく）して薬（くすり）を塗（ぬ）ってもらいました。,1.加藤（かとう）さんは、お風呂（ふろ）で背中（せなか）を大（おお）きく怪我（けが）しました。,2.介護職（かいごしょく）は、背中（せなか）の傷（きず）を看護師（かんごし）に報告（ほうこく）しました。,3.加藤（かとう）さんの背中（せなか）の傷（きず）はとても痛（いた）いです。,4.介護職（かいごしょく）は傷（きず）を見（み）つけましたが、何（なに）もしませんでした。,2
